N0_7muVerMo,SubjVertMo,QGVertMotion,CombVerMo,AreaMeso_ALS,SatContMoist,RaoContMoist,CombMoisture,AreaMoDryAir,VISCloudCov,IRCloudCover,CombClouds,CldShadeOth,AMInstabMt,InsInMt,WndHodograph,OutflowFrMt,MorningBound,Boundaries,CldShadeConv,CompPlFcst,CapChange,LoLevMoistAd,InsChange,MountainFcst,Date,Scenario,ScenRelAMCIN,MorningCIN,AMCINInScen,CapInScen,ScenRelAMIns,LIfr12ZDENSd,AMDewptCalPl,AMInsWliScen,InsSclInScen,ScenRel3_4,LatestCIN,LLIW,CurPropConv,ScnRelPlFcst,PlainsFcst,N34StarFcst,R5Fcst,Dewpoints,LowLLapse,MeanRH,MidLLapse,MvmtFeatures,RHRatio,SfcWndShfDis,SynForcng,TempDis,WindAloft,WindFieldMt,WindFieldPln
Neutral,Neutral,Neutral,Neutral,,Wet,Wet,Wet,VeryWet,Clear,PC,PC,Cloudy,,Weak,,Strong,,Weak,Some,IncCapDecIns,Increasing,WeakPos,Increasing,XNIL,Jul16_Aug10,H,CThruK,,LessThanAve,LessThanAve,H,N5GtLIGt_8,Stability,Average,MoreUnstable,HI,Stifling,,Slight,H,XNIL,XNIL,XNIL,Other,ModerateOrLe,Average,ModerateOrLe,MarkedUpper,DryMMoistL,MovingFtorOt,SigPositive,,SWQuad,LVorOther,LongAnticyc
WeakUp,WeakUp,Neutral,WeakUp,WeakUp,Dry,Neutral,VeryWet,VeryWet,PC,PC,Cloudy,Cloudy,Strong,Strong,StrongWest,Strong,Weak,Strong,Marked,IncCapDecIns,Increasing,Neutral,Decreasing,SVR,Jul16_Aug10,I,CThruK,Stifling,Average,MoreThanAve,ABI,N1GtLIGt_4,Stability,Average,LessUnstable,HI,PartInhibit,Weak,,I,XNIL,XNIL,SVR,LowSHighN,Steep,Dry,CloseToDryAd,NoMajor,DryMMoistL,Other,LittleChange,,AllElse,LVorOther,DenvCyclone
Neutral,Neutral,Neutral,Neutral,Neutral,,,VeryWet,VeryWet,PC,Clear,PC,PC,,,,,Weak,,,IncCapDecIns,Increasing,Negative,Decreasing,XNIL,May15_Jun14,K,,TotalInhibit,MoreThanAve,MoreThanAve,K,N1GtLIGt_4,Neutral,MoreUnstable,MoreUnstable,ACEFK,Stifling,Strong,Slight,K,SIG,XNIL,XNIL,LowEvrywhere,ModerateOrLe,Average,Steep,StrongFront,DryMMoistL,MovingFtorOt,SigPositive,Moving,AllElse,LVorOther,LongAnticyc
StrongUp,Neutral,StrongUp,StrongUp,StrongUp,VeryWet,Neutral,Wet,Wet,PC,Clear,PC,Clear,,,Westerly,,Strong,Weak,,DecCapIncIns,Decreasing,Negative,LittleChange,XNIL,Jul16_Aug10,B,AB,Stifling,Average,LessThanAve,ABI,N1GtLIGt_4,Instability,MoreUnstable,Average,B,PartInhibit,Moderate,Slight,B,SIG,SIG,SIG,HighEvrywher,ModerateOrLe,VeryMoist,Steep,NoMajor,DryMMoistL,DenvCyclone,LittleChange,,AllElse,LVorOther,LV
StrongUp,Down,,Down,Down,,Neutral,Dry,Dry,Clear,PC,Clear,Clear,Strong,Strong,Westerly,,Strong,Strong,Marked,IncCapDecIns,Increasing,Negative,LittleChange,SIG,Aug20_Sep15,J,CThruK,PartInhibit,Average,Average,CDEJ,N1GtLIGt_4,,,MoreUnstable,GJ,,Weak,Moderate,J,SVR,SVR,SVR,LowSHighN,Steep,Average,Steep,StrongFront,MoistMDryL,DryLine,LittleChange,Other,LV,LVorOther,LV
Down,StronUp,Neutral,,WeakUp,,Dry,Neutral,Wet,Clear,PC,Clear,Clear,Weak,Strong,StrongWest,Strong,Strong,Strong,Marked,IncCapDecIns,Increasing,Neutral,LittleChange,XNIL,Jul16_Aug10,E,CThruK,PartInhibit,Average,Average,CDEJ,N5GtLIGt_8,Instability,MoreUnstable,MoreUnstable,ACEFK,,Unfavorable,,E,SVR,,SIG,HighEvrywher,CloseToDryAd,Average,Steep,OtherRapid,MoistMDryL,MovingFtorOt,LittleChange,,SWQuad,Westerly,LV
WeakUp,Neutral,Neutral,Neutral,Neutral,Wet,Neutral,Wet,VeryWet,Clear,Cloudy,Clear,Clear,,Strong,DCVZFavor,Strong,Weak,Strong,Some,DecCapIncIns,Decreasing,Neutral,LittleChange,SIG,May15_Jun14,D,CThruK,PartInhibit,MoreThanAve,Average,CDEJ,N5GtLIGt_8,,Average,MoreUnstable,,PartInhibit,Strong,Slight,D,SVR,SVR,SVR,LowSHighN,Steep,Average,CloseToDryAd,StrongFront,Other,,NegToPos,Other,AllElse,Westerly,LongAnticyc
Neutral,,WeakUp,Down,Down,Dry,Wet,Neutral,Neutral,PC,PC,Clear,Clear,,Strong,DCVZFavor,Strong,,Strong,Marked,IncCapDecIns,Increasing,Negative,LittleChange,,Aug20_Sep15,A,AB,,LessThanAve,Average,ABI,N1GtLIGt_4,Instability,MoreUnstable,MoreUnstable,ACEFK,PartInhibit,Moderate,Strong,A,SVR,SVR,SVR,LowSHighN,Steep,Average,CloseToDryAd,OtherRapid,DryMMoistL,MovingFtorOt,PosToNeg,Moving,SWQuad,Westerly,DenvCyclone
Neutral,Down,Neutral,,Neutral,Dry,Neutral,Wet,Wet,Clear,,Clear,Clear,Strong,Strong,Westerly,Strong,Weak,Strong,Some,IncCapDecIns,Increasing,Neutral,Decreasing,SVR,Aug20_Sep15,D,CThruK,Stifling,MoreThanAve,MoreThanAve,CDEJ,N1GtLIGt_4,Stability,LessUnstable,LessUnstable,D,PartInhibit,Strong,Moderate,D,XNIL,SIG,SVR,LowSHighN,Steep,Dry,Steep,MarkedUpper,DryMMoistL,DenvCyclone,PosToNeg,,NWQuad,Westerly,SEQuad
WeakUp,Neutral,WeakUp,Neutral,Neutral,Wet,Neutral,Wet,Wet,Clear,Cloudy,PC,PC,Weak,Strong,Westerly,Weak,Weak,Weak,Marked,LittleChange,LittleChange,Neutral,Decreasing,,Jul16_Aug10,J,CThruK,Stifling,MoreThanAve,MoreThanAve,CDEJ,LILt_8,Instability,MoreUnstable,LessUnstable,GJ,PartInhibit,Unfavorable,,J,XNIL,XNIL,SVR,LowNHighS,CloseToDryAd,Dry,Steep,NoMajor,,DryLine,LittleChange,,LV,LVorOther,LV
Down,Neutral,StrongUp,Neutral,Neutral,Neutral,Dry,Dry,Dry,Cloudy,Clear,Cloudy,PC,Weak,Weak,Westerly,,Weak,Weak,,IncCapDecIns,Increasing,WeakPos,LittleChange,SIG,Aug20_Sep15,B,AB,PartInhibit,LessThanAve,LessThanAve,ABI,N1GtLIGt_4,Instability,MoreUnstable,,B,,Moderate,Slight,B,SVR,SVR,SVR,LowSHighN,Steep,Average,ModerateOrLe,NoMajor,DryMMoistL,DenvCyclone,LittleChange,QStationary,SWQuad,Westerly,DenvCyclone
WeakUp,Down,,WeakUp,,Neutral,VeryWet,,Wet,PC,Cloudy,Cloudy,Cloudy,Strong,Strong,Westerly,Strong,Weak,Strong,Some,IncCapDecIns,Increasing,Neutral,Increasing,SVR,May15_Jun14,K,CThruK,PartInhibit,Average,Average,K,LIGt0,Stability,Average,MoreUnstable,ACEFK,PartInhibit,Weak,,K,XNIL,XNIL,SVR,LowEvrywhere,ModerateOrLe,Average,Steep,NoMajor,Other,E_W_N,SigPositive,Other,NWQuad,Westerly,LongAnticyc
StrongUp,Neutral,WeakUp,,StrongUp,Neutral,,Neutral,Neutral,Clear,PC,Clear,Clear,,,StrongWest,,Weak,Weak,,DecCapIncIns,Decreasing,StrongPos,Increasing,XNIL,Aug20_Sep15,I,CThruK,PartInhibit,Average,Average,,LIGt0,Stability,,Average,HI,,Weak,Slight,I,SIG,SIG,SIG,LowMtsHighPl,,Dry,Steep,OtherRapid,DryMMoistL,MovingFtorOt,PosToNeg,QStationary,AllElse,LVorOther,E_NE
Down,Neutral,WeakUp,Neutral,Neutral,Neutral,,Wet,VeryWet,Clear,Clear,Clear,Clear,Strong,Strong,StrongWest,Strong,,Strong,Marked,LittleChange,LittleChange,Negative,Decreasing,,May15_Jun14,,CThruK,Stifling,Average,Average,CDEJ,LIGt0,Instability,MoreUnstable,LessUnstable,ACEFK,,Weak,Slight,C,XNIL,XNIL,SIG,LowNHighS,CloseToDryAd,Dry,CloseToDryAd,OtherRapid,MoistMDryL,E_W_S,LittleChange,,AllElse,Westerly,LongAnticyc
Neutral,Down,Neutral,Down,Down,Dry,Dry,Dry,Dry,PC,Clear,Clear,Clear,Strong,Strong,StrongWest,Strong,Weak,Strong,Some,LittleChange,LittleChange,Negative,LittleChange,SVR,Aug20_Sep15,I,CThruK,PartInhibit,LessThanAve,LessThanAve,ABI,N5GtLIGt_8,Instability,MoreUnstable,MoreUnstable,HI,TotalInhibit,Unfavorable,,I,,XNIL,SVR,Other,Steep,Dry,ModerateOrLe,StrongFront,DryMMoistL,E_W_S,PosToNeg,QStationary,AllElse,LVorOther,DenvCyclone
Down,Neutral,Neutral,Down,Down,Neutral,Neutral,Neutral,,PC,Cloudy,Cloudy,Cloudy,Weak,Strong,Other,Weak,Weak,Weak,,IncCapDecIns,Increasing,Negative,LittleChange,SIG,May15_Jun14,C,CThruK,,Average,MoreThanAve,CDEJ,N1GtLIGt_4,Instability,Average,Average,ACEFK,,Strong,Moderate,C,XNIL,XNIL,SIG,LowNHighS,Stable,Dry,Steep,,DryMMoistL,E_W_N,NegToPos,QStationary,NWQuad,Westerly,LongAnticyc
Neutral,StronUp,StrongUp,WeakUp,WeakUp,VeryWet,Neutral,Neutral,Neutral,PC,,PC,PC,Weak,Strong,Westerly,Strong,,,Marked,DecCapIncIns,Decreasing,Neutral,LittleChange,SIG,Aug20_Sep15,I,CThruK,TotalInhibit,MoreThanAve,LessThanAve,ABI,N1GtLIGt_4,Neutral,LessUnstable,LessUnstable,HI,,Weak,,I,SIG,SIG,SIG,,Stable,Average,Steep,OtherRapid,DryMMoistL,MovingFtorOt,LittleChange,QStationary,AllElse,LVorOther,DenvCyclone
StrongUp,StronUp,Neutral,WeakUp,WeakUp,Wet,VeryWet,VeryWet,VeryWet,PC,Cloudy,PC,PC,Strong,,Other,,,,,DecCapIncIns,Decreasing,Negative,LittleChange,SIG,Aug11_Aug20,J,CThruK,TotalInhibit,Average,LessThanAve,CDEJ,N5GtLIGt_8,Stability,LessUnstable,LessUnstable,GJ,PartInhibit,Weak,,J,SVR,SVR,SVR,LowMtsHighPl,ModerateOrLe,Average,ModerateOrLe,StrongFront,DryMMoistL,DryLine,LittleChange,,,LVorOther,LV
WeakUp,Neutral,StrongUp,WeakUp,WeakUp,Neutral,Dry,Wet,Neutral,Clear,Clear,Clear,Clear,Weak,Strong,DCVZFavor,Weak,,Weak,Marked,IncCapDecIns,Increasing,Neutral,Increasing,SIG,Aug11_Aug20,K,CThruK,Stifling,Average,MoreThanAve,K,N1GtLIGt_4,Instability,MoreUnstable,MoreUnstable,ACEFK,,Moderate,Strong,K,XNIL,XNIL,SIG,LowAtStation,Steep,Dry,ModerateOrLe,MarkedUpper,DryMMoistL,Other,SigPositive,,AllElse,Westerly,WidespdDnsl
Down,WeakUp,StrongUp,Neutral,Neutral,Neutral,Neutral,Dry,Dry,PC,PC,PC,,Strong,Strong,Other,,,Weak,Marked,IncCapDecIns,Increasing,StrongPos,Increasing,SIG,May15_Jun14,K,CThruK,PartInhibit,Average,Average,K,N1GtLIGt_4,Stability,Average,Average,ACEFK,PartInhibit,Moderate,,K,XNIL,XNIL,SIG,Other,Steep,Dry,CloseToDryAd,StrongFront,DryMMoistL,MovingFtorOt,,Moving,AllElse,Westerly,WidespdDnsl
WeakUp,Neutral,Neutral,Neutral,Neutral,Neutral,Wet,Neutral,Wet,Clear,PC,Clear,Clear,Strong,,,Weak,,,Marked,DecCapIncIns,Decreasing,,Decreasing,SIG,Jul2_Jul15,B,AB,,LessThanAve,LessThanAve,ABI,LIGt0,Neutral,Average,LessUnstable,B,,Unfavorable,,B,XNIL,XNIL,SIG,HighEvrywher,ModerateOrLe,VeryMoist,CloseToDryAd,MarkedUpper,MoistMDryL,,LittleChange,Other,AllElse,Westerly,DenvCyclone
StrongUp,Down,StrongUp,WeakUp,WeakUp,Neutral,Neutral,Neutral,Wet,PC,PC,PC,Cloudy,,,StrongWest,,Weak,Weak,,,Increasing,Negative,Decreasing,,Jun15_Jul1,C,CThruK,PartInhibit,Average,,CDEJ,LIGt0,Stability,Average,LessUnstable,ACEFK,,Moderate,,C,XNIL,SIG,SIG,LowAtStation,Steep,Dry,CloseToDryAd,,,E_W_N,SigPositive,QStationary,NWQuad,Westerly,LongAnticyc
Down,Neutral,Down,Neutral,Neutral,,Neutral,VeryWet,Wet,PC,PC,PC,PC,Strong,Strong,StrongWest,Strong,,Strong,Marked,IncCapDecIns,Increasing,Negative,Decreasing,SVR,May15_Jun14,G,CThruK,PartInhibit,Average,Average,G,N1GtLIGt_4,Neutral,Average,LessUnstable,GJ,,,Moderate,G,XNIL,XNIL,SVR,LowEvrywhere,CloseToDryAd,Dry,CloseToDryAd,NoMajor,,,LittleChange,,LV,LVorOther,WidespdDnsl
Down,Neutral,WeakUp,Down,Down,Neutral,Wet,Neutral,Dry,Clear,Cloudy,PC,,Strong,Strong,StrongWest,Strong,,Weak,Some,IncCapDecIns,Increasing,,Increasing,SVR,Jul2_Jul15,J,CThruK,PartInhibit,MoreThanAve,MoreThanAve,CDEJ,N1GtLIGt_4,Stability,LessUnstable,MoreUnstable,GJ,TotalInhibit,Weak,,J,XNIL,SIG,SVR,LowAtStation,ModerateOrLe,Average,ModerateOrLe,NoMajor,DryMMoistL,DryLine,LittleChange,Other,LV,LVorOther,LV
StrongUp,WeakUp,Neutral,StrongUp,StrongUp,Dry,Neutral,VeryWet,VeryWet,PC,PC,PC,Cloudy,,,Other,,Weak,Weak,,DecCapIncIns,Decreasing,StrongPos,Increasing,XNIL,Jul2_Jul15,A,AB,PartInhibit,LessThanAve,LessThanAve,ABI,,Stability,Average,MoreUnstable,ACEFK,,Unfavorable,Slight,A,SVR,SVR,SVR,LowMtsHighPl,Stable,Average,,MarkedUpper,DryMMoistL,DenvCyclone,LittleChange,,SWQuad,Westerly,DenvCyclone
StrongUp,Neutral,Down,WeakUp,WeakUp,Wet,Neutral,Neutral,Dry,Clear,Cloudy,Clear,Clear,Strong,Strong,StrongWest,Strong,,Weak,Marked,LittleChange,LittleChange,WeakPos,LittleChange,SIG,Aug20_Sep15,G,CThruK,Stifling,Average,Average,G,N5GtLIGt_8,Stability,LessUnstable,,GJ,PartInhibit,Moderate,Moderate,G,XNIL,XNIL,SIG,LowEvrywhere,Steep,Dry,CloseToDryAd,MarkedUpper,Other,DryLine,PosToNeg,,NWQuad,Westerly,SEQuad
WeakUp,Neutral,Down,Down,Down,Neutral,Neutral,Dry,Dry,Cloudy,Clear,Cloudy,PC,Weak,Strong,DCVZFavor,Weak,,Weak,Marked,IncCapDecIns,Increasing,WeakPos,Increasing,SVR,May15_Jun14,A,AB,PartInhibit,LessThanAve,Average,ABI,N1GtLIGt_4,Stability,LessUnstable,MoreUnstable,ACEFK,Stifling,Moderate,Slight,A,SVR,SVR,SVR,HighEvrywher,ModerateOrLe,VeryMoist,Steep,MarkedUpper,Other,E_W_S,PosToNeg,QStationary,SWQuad,Westerly,DenvCyclone
Down,Down,Down,Down,Down,Neutral,Dry,Wet,,Clear,PC,Cloudy,Cloudy,Weak,Strong,DCVZFavor,Weak,Strong,Strong,Marked,IncCapDecIns,Increasing,Negative,LittleChange,SIG,Aug11_Aug20,I,CThruK,PartInhibit,LessThanAve,MoreThanAve,ABI,N1GtLIGt_4,Stability,LessUnstable,LessUnstable,HI,Stifling,Moderate,,I,SIG,SIG,SIG,LowMtsHighPl,,Average,CloseToDryAd,,DryMMoistL,MovingFtorOt,SigPositive,Moving,LV,Westerly,E_NE
Neutral,Down,Neutral,Neutral,Neutral,Neutral,Wet,Wet,Wet,Clear,PC,PC,PC,,Strong,Westerly,Weak,Weak,Strong,Marked,IncCapDecIns,Increasing,WeakPos,Increasing,XNIL,Jul2_Jul15,G,CThruK,,LessThanAve,Average,G,N1GtLIGt_4,Stability,Average,,GJ,TotalInhibit,Moderate,,G,XNIL,XNIL,XNIL,LowAtStation,CloseToDryAd,Dry,CloseToDryAd,MarkedUpper,Other,,NegToPos,Other,SWQuad,Westerly,LV
StrongUp,,StrongUp,StrongUp,StrongUp,Wet,Neutral,Neutral,Wet,PC,PC,PC,Cloudy,Weak,Strong,Westerly,Strong,,Weak,Marked,DecCapIncIns,Decreasing,,Decreasing,SVR,May15_Jun14,D,CThruK,PartInhibit,Average,,CDEJ,,Stability,LessUnstable,LessUnstable,D,PartInhibit,Strong,Moderate,D,XNIL,XNIL,SVR,LowMtsHighPl,CloseToDryAd,Average,,StrongFront,DryMMoistL,,NegToPos,,NWQuad,Westerly,
StrongUp,StronUp,Neutral,StrongUp,StrongUp,Neutral,Dry,Dry,Wet,PC,PC,Clear,PC,Strong,Strong,Westerly,Strong,,Strong,Marked,DecCapIncIns,Decreasing,Neutral,LittleChange,SIG,Jun15_Jul1,K,CThruK,PartInhibit,Average,LessThanAve,K,N1GtLIGt_4,Instability,Average,MoreUnstable,ACEFK,,Moderate,Slight,K,XNIL,XNIL,SIG,Other,Steep,Dry,Steep,StrongFront,DryMMoistL,Other,NegToPos,,AllElse,LVorOther,LongAnticyc
StrongUp,WeakUp,Down,,WeakUp,VeryWet,Neutral,VeryWet,VeryWet,,Clear,Clear,PC,Weak,Strong,StrongWest,Strong,,Strong,Marked,IncCapDecIns,Increasing,Neutral,LittleChange,SVR,May15_Jun14,B,AB,PartInhibit,LessThanAve,Average,ABI,N1GtLIGt_4,Stability,LessUnstable,LessUnstable,B,,Moderate,,B,SVR,SVR,,LowEvrywhere,Steep,Average,Steep,NoMajor,Other,,PosToNeg,,LV,Westerly,DenvCyclone
Down,Neutral,Down,Down,Down,Neutral,VeryWet,Dry,Dry,Clear,PC,Clear,Clear,Strong,Strong,Westerly,Strong,Weak,Weak,Some,LittleChange,LittleChange,Negative,Decreasing,SVR,May15_Jun14,D,CThruK,PartInhibit,LessThanAve,LessThanAve,CDEJ,N1GtLIGt_4,Stability,LessUnstable,LessUnstable,D,,Weak,Moderate,D,SVR,SVR,SVR,LowSHighN,Steep,Dry,Steep,OtherRapid,Other,DenvCyclone,PosToNeg,,AllElse,Westerly,LV
Neutral,Neutral,Down,Down,Down,Neutral,Dry,Wet,Neutral,PC,Clear,Clear,Clear,,Weak,StrongWest,,,Weak,,IncCapDecIns,,Neutral,LittleChange,SIG,Jul16_Aug10,B,AB,TotalInhibit,Average,Average,,N5GtLIGt_8,Stability,Average,MoreUnstable,B,PartInhibit,Weak,,B,XNIL,XNIL,SIG,LowNHighS,Steep,,Steep,OtherRapid,DryMMoistL,DenvCyclone,LittleChange,Other,SWQuad,LVorOther,E_NE
StrongUp,Neutral,StrongUp,StrongUp,StrongUp,VeryWet,Wet,VeryWet,VeryWet,Clear,Clear,Clear,PC,,Strong,StrongWest,Strong,Weak,Strong,Marked,LittleChange,LittleChange,Negative,Decreasing,SVR,May15_Jun14,B,AB,,LessThanAve,LessThanAve,ABI,N1GtLIGt_4,Stability,LessUnstable,LessUnstable,B,Stifling,Moderate,Slight,B,XNIL,XNIL,SVR,LowEvrywhere,Steep,Dry,CloseToDryAd,OtherRapid,DryMMoistL,E_W_S,SigNegative,Other,,LVorOther,DenvCyclone
WeakUp,Down,Neutral,Neutral,Neutral,Neutral,Neutral,Dry,Neutral,Clear,PC,Clear,Clear,Weak,Weak,,,,,,IncCapDecIns,Increasing,Negative,Decreasing,SIG,May15_Jun14,A,AB,PartInhibit,MoreThanAve,MoreThanAve,ABI,N1GtLIGt_4,Stability,LessUnstable,LessUnstable,ACEFK,PartInhibit,Unfavorable,,A,XNIL,XNIL,SIG,LowMtsHighPl,ModerateOrLe,Average,Steep,OtherRapid,DryMMoistL,DenvCyclone,PosToNeg,Other,SWQuad,,SEQuad
StrongUp,Neutral,Neutral,WeakUp,WeakUp,Dry,VeryWet,Neutral,Wet,Cloudy,PC,Cloudy,Cloudy,Strong,Strong,Other,,,,Marked,LittleChange,LittleChange,,Decreasing,SIG,Jul16_Aug10,J,CThruK,Stifling,MoreThanAve,MoreThanAve,CDEJ,LIGt0,Stability,LessUnstable,LessUnstable,GJ,,Unfavorable,,J,XNIL,XNIL,SIG,HighEvrywher,ModerateOrLe,Average,Steep,NoMajor,,DryLine,LittleChange,,LV,LVorOther,LV
Down,WeakUp,WeakUp,,Neutral,Wet,Dry,Wet,Wet,PC,PC,PC,PC,Weak,Strong,Westerly,Strong,,Strong,Marked,IncCapDecIns,Increasing,WeakPos,Increasing,SIG,Jul16_Aug10,B,AB,PartInhibit,Average,MoreThanAve,ABI,N1GtLIGt_4,Neutral,MoreUnstable,MoreUnstable,B,,Moderate,Strong,B,SVR,,SVR,LowEvrywhere,ModerateOrLe,Average,CloseToDryAd,NoMajor,Other,MovingFtorOt,NegToPos,Other,NWQuad,,DenvCyclone
StrongUp,WeakUp,Neutral,WeakUp,WeakUp,Dry,Neutral,VeryWet,VeryWet,Clear,Clear,Clear,PC,Weak,Strong,StrongWest,Strong,Weak,Weak,,DecCapIncIns,Decreasing,Neutral,LittleChange,SVR,May15_Jun14,H,CThruK,Stifling,Average,Average,H,N1GtLIGt_4,Stability,Average,Average,HI,,Unfavorable,Slight,H,,XNIL,SVR,HighEvrywher,Stable,VeryMoist,CloseToDryAd,MarkedUpper,Other,,NegToPos,,NWQuad,LVorOther,E_NE
Neutral,Neutral,Down,Neutral,Neutral,,,Neutral,Neutral,Clear,Clear,Clear,,Strong,Strong,Westerly,,,,,IncCapDecIns,Increasing,Negative,LittleChange,SVR,Aug20_Sep15,,CThruK,,Average,MoreThanAve,G,LILt_8,Stability,MoreUnstable,MoreUnstable,GJ,Stifling,Moderate,Slight,,XNIL,XNIL,SVR,LowEvrywhere,CloseToDryAd,Dry,CloseToDryAd,StrongFront,MoistMDryL,,NegToPos,,AllElse,Westerly,WidespdDnsl
WeakUp,StronUp,Neutral,WeakUp,WeakUp,Dry,Wet,VeryWet,VeryWet,Clear,Clear,Clear,Clear,Weak,Strong,StrongWest,Strong,,Weak,Marked,LittleChange,LittleChange,Negative,Decreasing,SVR,Aug20_Sep15,D,CThruK,PartInhibit,Average,Average,CDEJ,N1GtLIGt_4,Stability,LessUnstable,LessUnstable,D,,Weak,Slight,D,SVR,SVR,SVR,LowAtStation,Steep,Average,ModerateOrLe,OtherRapid,DryMMoistL,DryLine,SigNegative,Other,AllElse,Westerly,SEQuad
WeakUp,Neutral,WeakUp,WeakUp,WeakUp,Neutral,VeryWet,Neutral,Wet,PC,Clear,Clear,PC,Weak,Weak,Westerly,Weak,,Strong,,LittleChange,LittleChange,Neutral,,SIG,Aug20_Sep15,J,CThruK,PartInhibit,MoreThanAve,MoreThanAve,CDEJ,N1GtLIGt_4,Instability,Average,Average,GJ,,Moderate,Strong,J,XNIL,XNIL,SIG,Other,CloseToDryAd,Dry,Steep,NoMajor,MoistMDryL,DryLine,LittleChange,Other,LV,LVorOther,LV
StrongUp,Neutral,Down,Neutral,Neutral,Wet,Dry,Neutral,,Clear,Clear,Clear,Clear,Strong,Strong,DCVZFavor,Weak,Weak,Weak,Some,DecCapIncIns,Decreasing,Neutral,Decreasing,SIG,Jul2_Jul15,J,CThruK,Stifling,MoreThanAve,LessThanAve,CDEJ,N1GtLIGt_4,Stability,LessUnstable,LessUnstable,GJ,,Weak,Strong,J,SIG,SIG,SIG,LowAtStation,ModerateOrLe,Average,CloseToDryAd,NoMajor,MoistMDryL,DryLine,LittleChange,Other,LV,LVorOther,LV
WeakUp,Neutral,Neutral,Neutral,Neutral,Neutral,VeryWet,Neutral,Neutral,PC,PC,Cloudy,PC,Strong,Strong,StrongWest,Strong,Strong,Strong,Marked,IncCapDecIns,Increasing,WeakPos,Decreasing,SIG,Jul16_Aug10,I,CThruK,,LessThanAve,LessThanAve,ABI,N1GtLIGt_4,,Average,Average,HI,,,Slight,I,,XNIL,SIG,LowSHighN,ModerateOrLe,Average,CloseToDryAd,,DryMMoistL,E_W_N,PosToNeg,Moving,SWQuad,Westerly,LongAnticyc
StrongUp,Down,StrongUp,StrongUp,StrongUp,Neutral,VeryWet,Neutral,VeryWet,PC,PC,,Cloudy,Strong,Strong,StrongWest,Strong,,Strong,Marked,IncCapDecIns,,Negative,Decreasing,SIG,Aug20_Sep15,K,,PartInhibit,LessThanAve,LessThanAve,K,LIGt0,Stability,LessUnstable,LessUnstable,ACEFK,,Weak,Slight,K,XNIL,XNIL,SIG,Other,Steep,VeryMoist,CloseToDryAd,MarkedUpper,DryMMoistL,,SigPositive,Moving,AllElse,LVorOther,SEQuad
Down,Neutral,WeakUp,Neutral,Neutral,Neutral,VeryWet,Wet,Wet,PC,Clear,Clear,Clear,Strong,Strong,StrongWest,Strong,Strong,Strong,Some,LittleChange,LittleChange,Negative,Decreasing,XNIL,Aug20_Sep15,J,CThruK,Stifling,Average,Average,CDEJ,N5GtLIGt_8,Instability,MoreUnstable,MoreUnstable,GJ,PartInhibit,Moderate,,J,XNIL,XNIL,XNIL,LowMtsHighPl,Steep,Dry,Steep,NoMajor,DryMMoistL,DryLine,LittleChange,,AllElse,LVorOther,LV
Down,,,Neutral,Neutral,Wet,Wet,Wet,Neutral,PC,Cloudy,Cloudy,Cloudy,Weak,Strong,Westerly,Weak,Weak,Weak,Some,LittleChange,LittleChange,WeakPos,Increasing,XNIL,Aug20_Sep15,H,CThruK,PartInhibit,,Average,H,N1GtLIGt_4,Stability,MoreUnstable,MoreUnstable,HI,PartInhibit,Unfavorable,,H,SIG,SIG,SIG,Other,ModerateOrLe,VeryMoist,ModerateOrLe,MarkedUpper,DryMMoistL,MovingFtorOt,SigNegative,,AllElse,Westerly,E_NE
Neutral,Down,StrongUp,Neutral,Neutral,Dry,Neutral,VeryWet,VeryWet,Clear,PC,PC,Cloudy,,,Other,,Weak,Weak,,DecCapIncIns,Decreasing,Neutral,LittleChange,XNIL,Jul16_Aug10,F,CThruK,,LessThanAve,LessThanAve,F,N1GtLIGt_4,Neutral,LessUnstable,LessUnstable,ACEFK,,Weak,Slight,F,XNIL,XNIL,XNIL,HighEvrywher,ModerateOrLe,VeryMoist,ModerateOrLe,NoMajor,Other,,LittleChange,,LV,LVorOther,E_NE
Neutral,Down,Neutral,Neutral,Neutral,Neutral,Neutral,,Neutral,PC,PC,PC,PC,,,Other,,Weak,Weak,,DecCapIncIns,Decreasing,WeakPos,LittleChange,XNIL,Aug20_Sep15,A,AB,PartInhibit,Average,Average,ABI,N5GtLIGt_8,Instability,MoreUnstable,MoreUnstable,ACEFK,PartInhibit,Moderate,Moderate,A,SIG,,SIG,HighEvrywher,Stable,Average,ModerateOrLe,MarkedUpper,Other,MovingFtorOt,NegToPos,,SWQuad,Westerly,DenvCyclone
WeakUp,Neutral,Neutral,,Neutral,VeryWet,Dry,Neutral,Neutral,PC,Cloudy,PC,PC,Weak,Strong,Westerly,Strong,,Weak,Some,IncCapDecIns,Increasing,StrongPos,Increasing,SVR,May15_Jun14,K,CThruK,PartInhibit,,MoreThanAve,K,LILt_8,Neutral,,MoreUnstable,ACEFK,PartInhibit,Weak,,K,XNIL,XNIL,SVR,Other,Steep,Dry,ModerateOrLe,NoMajor,Other,DryLine,SigPositive,Other,NWQuad,LVorOther,WidespdDnsl
